dataset,band,band_min_cm,band_max_cm,scenario,band_weight,reason
SiC_10deg,1500-2000,1500.0,2000.0,all_equal,1.0,全波段等权基线
SiC_10deg,1500-2000,1500.0,2000.0,frequency_screened,1.0,只保留周期稳定且频域峰较强的波段
SiC_10deg,1500-2000,1500.0,2000.0,frequency_downweighted,1.0,频域证据较弱波段降权但不丢弃
SiC_10deg,1500-2000,1500.0,2000.0,continuous_frequency_weight,0.8590683772534234,按频域峰强度和周期稳定性连续赋权
SiC_10deg,2000-2500,2000.0,2500.0,all_equal,1.0,全波段等权基线
SiC_10deg,2000-2500,2000.0,2500.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_10deg,2000-2500,2000.0,2500.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_10deg,2000-2500,2000.0,2500.0,continuous_frequency_weight,0.6013478640773964,按频域峰强度和周期稳定性连续赋权
SiC_10deg,2500-3000,2500.0,3000.0,all_equal,1.0,全波段等权基线
SiC_10deg,2500-3000,2500.0,3000.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_10deg,2500-3000,2500.0,3000.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_10deg,2500-3000,2500.0,3000.0,continuous_frequency_weight,0.6013478640773964,按频域峰强度和周期稳定性连续赋权
SiC_10deg,3000-3500,3000.0,3500.0,all_equal,1.0,全波段等权基线
SiC_10deg,3000-3500,3000.0,3500.0,frequency_screened,1.0,只保留周期稳定且频域峰较强的波段
SiC_10deg,3000-3500,3000.0,3500.0,frequency_downweighted,1.0,频域证据较弱波段降权但不丢弃
SiC_10deg,3000-3500,3000.0,3500.0,continuous_frequency_weight,0.8869452996172773,按频域峰强度和周期稳定性连续赋权
SiC_10deg,3500-4000,3500.0,4000.0,all_equal,1.0,全波段等权基线
SiC_10deg,3500-4000,3500.0,4000.0,frequency_screened,1.0,只保留周期稳定且频域峰较强的波段
SiC_10deg,3500-4000,3500.0,4000.0,frequency_downweighted,1.0,频域证据较弱波段降权但不丢弃
SiC_10deg,3500-4000,3500.0,4000.0,continuous_frequency_weight,1.0517487513258628,按频域峰强度和周期稳定性连续赋权
SiC_15deg,1500-2000,1500.0,2000.0,all_equal,1.0,全波段等权基线
SiC_15deg,1500-2000,1500.0,2000.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_15deg,1500-2000,1500.0,2000.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_15deg,1500-2000,1500.0,2000.0,continuous_frequency_weight,0.6660323728019246,按频域峰强度和周期稳定性连续赋权
SiC_15deg,2000-2500,2000.0,2500.0,all_equal,1.0,全波段等权基线
SiC_15deg,2000-2500,2000.0,2500.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_15deg,2000-2500,2000.0,2500.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_15deg,2000-2500,2000.0,2500.0,continuous_frequency_weight,0.6660323728019246,按频域峰强度和周期稳定性连续赋权
SiC_15deg,2500-3000,2500.0,3000.0,all_equal,1.0,全波段等权基线
SiC_15deg,2500-3000,2500.0,3000.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_15deg,2500-3000,2500.0,3000.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_15deg,2500-3000,2500.0,3000.0,continuous_frequency_weight,0.6660323728019246,按频域峰强度和周期稳定性连续赋权
SiC_15deg,3000-3500,3000.0,3500.0,all_equal,1.0,全波段等权基线
SiC_15deg,3000-3500,3000.0,3500.0,frequency_screened,0.0,只保留周期稳定且频域峰较强的波段
SiC_15deg,3000-3500,3000.0,3500.0,frequency_downweighted,0.35,频域证据较弱波段降权但不丢弃
SiC_15deg,3000-3500,3000.0,3500.0,continuous_frequency_weight,0.7390713341289018,按频域峰强度和周期稳定性连续赋权
SiC_15deg,3500-4000,3500.0,4000.0,all_equal,1.0,全波段等权基线
SiC_15deg,3500-4000,3500.0,4000.0,frequency_screened,1.0,只保留周期稳定且频域峰较强的波段
SiC_15deg,3500-4000,3500.0,4000.0,frequency_downweighted,1.0,频域证据较弱波段降权但不丢弃
SiC_15deg,3500-4000,3500.0,4000.0,continuous_frequency_weight,0.9326694645135785,按频域峰强度和周期稳定性连续赋权
